,index,source,timestamp,values,activity
0,14889,heart_rate,49:01.9,"['65.0', '1']",Video games
1,14890,heart_rate,49:01.9,"['64.0', '1']",Video games
2,14891,heart_rate,49:01.9,"['64.0', '0']",Video games
3,14892,heart_rate,49:01.9,"['65.0', '0']",Video games
4,14893,heart_rate,49:01.9,"['64.0', '0']",Video games
5,14894,heart_rate,49:01.9,"['62.0', '1']",Video games
6,14895,heart_rate,49:02.0,"['61.0', '1']",Video games
7,14896,heart_rate,49:02.0,"['60.0', '1']",Video games
8,14897,heart_rate,49:02.0,"['60.0', '0']",Video games
9,14898,heart_rate,49:02.0,"['60.0', '1']",Video games
10,14899,heart_rate,49:02.1,"['61.0', '1']",Video games
11,14900,heart_rate,49:02.1,"['59.0', '1']",Video games
12,14901,heart_rate,49:02.1,"['58.0', '1']",Video games
13,14902,heart_rate,49:02.1,"['57.0', '1']",Video games
14,14903,heart_rate,49:02.1,"['58.0', '1']",Video games
15,14904,heart_rate,49:02.1,"['57.0', '1']",Video games
16,14905,heart_rate,49:02.1,"['58.0', '2']",Video games
17,14906,heart_rate,49:02.1,"['58.0', '1']",Video games
18,14907,heart_rate,49:02.2,"['59.0', '1']",Video games
19,14908,heart_rate,49:02.2,"['60.0', '1']",Video games
20,14909,heart_rate,49:02.2,"['62.0', '1']",Video games
21,14910,heart_rate,49:02.2,"['63.0', '1']",Video games
22,14911,heart_rate,49:02.2,"['62.0', '1']",Video games
23,14912,heart_rate,49:02.3,"['61.0', '1']",Video games
24,14913,heart_rate,49:02.3,"['60.0', '1']",Video games
25,14914,heart_rate,49:02.3,"['59.0', '1']",Video games
26,14915,heart_rate,49:02.3,"['60.0', '1']",Video games
27,14916,heart_rate,49:02.4,"['59.0', '1']",Video games
28,14917,heart_rate,49:02.4,"['60.0', '1']",Video games
29,14918,heart_rate,49:02.4,"['61.0', '1']",Video games
30,14919,heart_rate,49:02.4,"['61.0', '2']",Video games
31,14920,heart_rate,49:02.4,"['61.0', '3']",Video games
32,14921,heart_rate,49:02.4,"['60.0', '3']",Video games
33,14922,heart_rate,49:02.4,"['60.0', '2']",Video games
34,14923,heart_rate,49:02.4,"['60.0', '1']",Video games
35,14924,heart_rate,49:02.4,"['59.0', '1']",Video games
36,14925,heart_rate,49:02.5,"['60.0', '1']",Video games
37,14926,heart_rate,49:02.5,"['58.0', '1']",Video games
38,14927,heart_rate,49:02.5,"['61.0', '1']",Video games
39,14928,heart_rate,49:02.5,"['62.0', '1']",Video games
