index,source,timestamp,values
14889,heart_rate,2017-07-01 21:49:01.872,"['65.0', '1']"
14890,heart_rate,2017-07-01 21:49:01.900,"['64.0', '1']"
14891,heart_rate,2017-07-01 21:49:01.927,"['64.0', '0']"
14892,heart_rate,2017-07-01 21:49:01.930,"['65.0', '0']"
14893,heart_rate,2017-07-01 21:49:01.934,"['64.0', '0']"
14894,heart_rate,2017-07-01 21:49:01.947,"['62.0', '1']"
14895,heart_rate,2017-07-01 21:49:01.975,"['61.0', '1']"
14896,heart_rate,2017-07-01 21:49:02.013,"['60.0', '1']"
14897,heart_rate,2017-07-01 21:49:02.021,"['60.0', '0']"
14898,heart_rate,2017-07-01 21:49:02.044,"['60.0', '1']"
14899,heart_rate,2017-07-01 21:49:02.052,"['61.0', '1']"
14900,heart_rate,2017-07-01 21:49:02.091,"['59.0', '1']"
14901,heart_rate,2017-07-01 21:49:02.094,"['58.0', '1']"
14902,heart_rate,2017-07-01 21:49:02.098,"['57.0', '1']"
14903,heart_rate,2017-07-01 21:49:02.134,"['58.0', '1']"
14904,heart_rate,2017-07-01 21:49:02.137,"['57.0', '1']"
14905,heart_rate,2017-07-01 21:49:02.141,"['58.0', '2']"
14906,heart_rate,2017-07-01 21:49:02.149,"['58.0', '1']"
14907,heart_rate,2017-07-01 21:49:02.152,"['59.0', '1']"
14908,heart_rate,2017-07-01 21:49:02.234,"['60.0', '1']"
14909,heart_rate,2017-07-01 21:49:02.238,"['62.0', '1']"
14910,heart_rate,2017-07-01 21:49:02.242,"['63.0', '1']"
14911,heart_rate,2017-07-01 21:49:02.250,"['62.0', '1']"
14912,heart_rate,2017-07-01 21:49:02.292,"['61.0', '1']"
14913,heart_rate,2017-07-01 21:49:02.300,"['60.0', '1']"
14914,heart_rate,2017-07-01 21:49:02.344,"['59.0', '1']"
14915,heart_rate,2017-07-01 21:49:02.347,"['60.0', '1']"
14916,heart_rate,2017-07-01 21:49:02.356,"['59.0', '1']"
14917,heart_rate,2017-07-01 21:49:02.359,"['60.0', '1']"
14918,heart_rate,2017-07-01 21:49:02.363,"['61.0', '1']"
14919,heart_rate,2017-07-01 21:49:02.379,"['61.0', '2']"
14920,heart_rate,2017-07-01 21:49:02.391,"['61.0', '3']"
