index,activity_type,duration,from,to,comment
0,Video games,1:43,7/1/2017 21:34,7/1/2017 23:17,
1,In computer,0:03,7/1/2017 21:29,7/1/2017 21:32,
2,At home,13:35,7/1/2017 21:13,7/2/2017 10:49,
3,In computer,0:05,7/1/2017 21:08,7/1/2017 21:13,
4,Eat,0:18,7/1/2017 20:49,7/1/2017 21:07,
5,In computer,0:20,7/1/2017 18:26,7/1/2017 18:46,
6,Eat,0:13,7/1/2017 16:20,7/1/2017 16:33,
7,Sleep,4:31,7/1/2017 11:00,7/1/2017 15:31,
0,Eat,0:10,7/2/2017 21:55,7/2/2017 22:05,
1,Watching TV,1:59,7/2/2017 20:10,7/2/2017 22:10,
2,In computer,0:07,7/2/2017 19:54,7/2/2017 20:02,
3,In computer,0:06,7/2/2017 19:45,7/2/2017 19:51,
4,In computer,0:35,7/2/2017 19:03,7/2/2017 19:38,
5,At home,4:28,7/2/2017 18:31,7/2/2017 23:00,
6,In vehicle,0:51,7/2/2017 17:37,7/2/2017 18:28,
7,Picnic ,5:10,7/2/2017 12:25,7/2/2017 17:35,
8,In vehicle,0:39,7/2/2017 11:42,7/2/2017 12:21,
9,In vehicle,0:04,7/2/2017 11:20,7/2/2017 11:25,
0,Walk,0:03,7/3/2017 22:06,7/3/2017 22:09,
1,Running,0:29,7/3/2017 21:37,7/3/2017 22:06,
2,Video games,0:28,7/3/2017 20:14,7/3/2017 20:43,
3,Eat,0:20,7/3/2017 18:53,7/3/2017 19:13,
4,Phone was out of the pocket (forgot),1:08,7/3/2017 18:11,7/3/2017 19:20,
5,At home,5:34,7/3/2017 18:10,7/3/2017 23:45,
6,Walk,0:14,7/3/2017 17:56,7/3/2017 18:10,
7,Eat,0:13,7/3/2017 15:01,7/3/2017 15:14,
8,Video games,1:43,7/3/2017 12:52,7/3/2017 14:35,
9,In computer,0:21,7/3/2017 12:19,7/3/2017 12:40,
10,At home,5:37,7/3/2017 12:19,7/3/2017 17:56,
0,Eat,0:10,7/4/2017 21:05,7/4/2017 21:16,
1,At home,4:37,7/4/2017 19:21,7/4/2017 23:59,
2,Walk,0:18,7/4/2017 19:03,7/4/2017 19:21,
3,Train,0:21,7/4/2017 18:41,7/4/2017 19:03,
4,Walk,0:08,7/4/2017 18:33,7/4/2017 18:41,
5,In computer,1:13,7/4/2017 17:13,7/4/2017 18:26,
6,In computer,0:13,7/4/2017 16:49,7/4/2017 17:02,
7,Walk,0:21,7/4/2017 16:07,7/4/2017 16:29,
8,Train,0:25,7/4/2017 15:41,7/4/2017 16:07,
9,Walk,0:16,7/4/2017 15:24,7/4/2017 15:40,
0,Walk,0:14,7/5/2017 17:48,7/5/2017 18:03,
1,Eat,0:21,7/5/2017 16:39,7/5/2017 17:01,
2,Cooking,0:21,7/5/2017 16:18,7/5/2017 16:39,
3,In bus,0:10,7/5/2017 15:40,7/5/2017 15:50,
4,Train,0:18,7/5/2017 15:14,7/5/2017 15:32,
5,Walk,0:07,7/5/2017 14:59,7/5/2017 15:06,
6,In computer,0:16,7/5/2017 14:41,7/5/2017 14:58,
7,Meeting,0:25,7/5/2017 13:57,7/5/2017 14:22,
8,Walk,0:07,7/5/2017 13:49,7/5/2017 13:57,
9,Train,0:18,7/5/2017 13:31,7/5/2017 13:49,
0,In bus,0:30,7/6/2017 22:06,7/6/2017 22:36,
1,Meeting,2:24,7/6/2017 19:00,7/6/2017 21:24,
2,Walk,0:32,7/6/2017 18:27,7/6/2017 18:59,
3,In bus,0:36,7/6/2017 17:50,7/6/2017 18:26,
4,In bus,0:20,7/6/2017 16:08,7/6/2017 16:28,
5,Walk,0:27,7/6/2017 15:31,7/6/2017 15:59,
6,In bus,0:17,7/6/2017 15:14,7/6/2017 15:31,
7,In vehicle,0:10,7/6/2017 15:01,7/6/2017 15:12,
8,In vehicle,0:22,7/6/2017 14:34,7/6/2017 14:57,
9,Walk,0:12,7/6/2017 14:17,7/6/2017 14:30,
0,Walk,0:19,7/7/2017 17:49,7/7/2017 18:09,
1,Eat,0:16,7/7/2017 15:56,7/7/2017 16:12,
2,Cooking,0:35,7/7/2017 14:28,7/7/2017 15:03,
0,In bus,0:05,7/8/2017 22:29,7/8/2017 22:34,
1,In bus,0:05,7/8/2017 20:52,7/8/2017 20:57,
2,In computer,1:17,7/8/2017 19:01,7/8/2017 20:19,
3,Eat,0:35,7/8/2017 19:01,7/8/2017 19:36,
4,In computer,3:13,7/8/2017 15:07,7/8/2017 18:21,
5,Pause,0:30,7/8/2017 14:28,7/8/2017 14:58,
6,Movie,0:57,7/8/2017 13:26,7/8/2017 14:24,
7,Video games,0:21,7/8/2017 13:01,7/8/2017 13:22,
8,Eat,0:16,7/8/2017 12:22,7/8/2017 12:39,
9,Movie,0:48,7/8/2017 11:27,7/8/2017 12:16,
0,At home,5:52,7/9/2017 17:08,7/9/2017 23:00,
1,Pause,4:15,7/9/2017 12:53,7/9/2017 17:08,
2,Football,2:35,7/9/2017 9:50,7/9/2017 12:25,Approximately
3,In vehicle,0:12,7/9/2017 9:24,7/9/2017 9:36,Approximately
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Approximately,,,,,
