index,activity_type,duration,from,to,comment
0,Video games,01:43,2017-07-01 21:34,2017-07-01 23:17,
1,In computer,00:03,2017-07-01 21:29,2017-07-01 21:32,
2,At home,13:35,2017-07-01 21:13,2017-07-02 10:49,
3,In computer,00:05,2017-07-01 21:08,2017-07-01 21:13,
4,Eat,00:18,2017-07-01 20:49,2017-07-01 21:07,
5,In computer,00:20,2017-07-01 18:26,2017-07-01 18:46,
6,Eat,00:13,2017-07-01 16:20,2017-07-01 16:33,
7,Sleep,04:31,2017-07-01 11:00,2017-07-01 15:31,
0,Eat,00:10,2017-07-02 21:55,2017-07-02 22:05,
1,Watching TV,01:59,2017-07-02 20:10,2017-07-02 22:10,
2,In computer,00:07,2017-07-02 19:54,2017-07-02 20:02,
3,In computer,00:06,2017-07-02 19:45,2017-07-02 19:51,
4,In computer,00:35,2017-07-02 19:03,2017-07-02 19:38,
5,At home,04:28,2017-07-02 18:31,2017-07-02 23:00,
6,In vehicle,00:51,2017-07-02 17:37,2017-07-02 18:28,
7,Picnic ,05:10,2017-07-02 12:25,2017-07-02 17:35,
8,In vehicle,00:39,2017-07-02 11:42,2017-07-02 12:21,
9,In vehicle,00:04,2017-07-02 11:20,2017-07-02 11:25,
0,Walk,00:03,2017-07-03 22:06,2017-07-03 22:09,
1,Running,00:29,2017-07-03 21:37,2017-07-03 22:06,
2,Video games,00:28,2017-07-03 20:14,2017-07-03 20:43,
3,Eat,00:20,2017-07-03 18:53,2017-07-03 19:13,
4,Phone was out of the pocket (forgot),01:08,2017-07-03 18:11,2017-07-03 19:20,
5,At home,05:34,2017-07-03 18:10,2017-07-03 23:45,
6,Walk,00:14,2017-07-03 17:56,2017-07-03 18:10,
7,Eat,00:13,2017-07-03 15:01,2017-07-03 15:14,
8,Video games,01:43,2017-07-03 12:52,2017-07-03 14:35,
9,In computer,00:21,2017-07-03 12:19,2017-07-03 12:40,
10,At home,05:37,2017-07-03 12:19,2017-07-03 17:56,
0,Eat,00:10,2017-07-04 21:05,2017-07-04 21:16,
1,At home,04:37,2017-07-04 19:21,2017-07-04 23:59,
2,Walk,00:18,2017-07-04 19:03,2017-07-04 19:21,
3,Train,00:21,2017-07-04 18:41,2017-07-04 19:03,
4,Walk,00:08,2017-07-04 18:33,2017-07-04 18:41,
5,In computer,01:13,2017-07-04 17:13,2017-07-04 18:26,
6,In computer,00:13,2017-07-04 16:49,2017-07-04 17:02,
7,Walk,00:21,2017-07-04 16:07,2017-07-04 16:29,
8,Train,00:25,2017-07-04 15:41,2017-07-04 16:07,
9,Walk,00:16,2017-07-04 15:24,2017-07-04 15:40,
0,Walk,00:14,2017-07-05 17:48,2017-07-05 18:03,
1,Eat,00:21,2017-07-05 16:39,2017-07-05 17:01,
2,Cooking,00:21,2017-07-05 16:18,2017-07-05 16:39,
3,In bus,00:10,2017-07-05 15:40,2017-07-05 15:50,
4,Train,00:18,2017-07-05 15:14,2017-07-05 15:32,
5,Walk,00:07,2017-07-05 14:59,2017-07-05 15:06,
6,In computer,00:16,2017-07-05 14:41,2017-07-05 14:58,
7,Meeting,00:25,2017-07-05 13:57,2017-07-05 14:22,
8,Walk,00:07,2017-07-05 13:49,2017-07-05 13:57,
9,Train,00:18,2017-07-05 13:31,2017-07-05 13:49,
0,In bus,00:30,2017-07-06 22:06,2017-07-06 22:36,
1,Meeting,02:24,2017-07-06 19:00,2017-07-06 21:24,
2,Walk,00:32,2017-07-06 18:27,2017-07-06 18:59,
3,In bus,00:36,2017-07-06 17:50,2017-07-06 18:26,
4,In bus,00:20,2017-07-06 16:08,2017-07-06 16:28,
5,Walk,00:27,2017-07-06 15:31,2017-07-06 15:59,
6,In bus,00:17,2017-07-06 15:14,2017-07-06 15:31,
7,In vehicle,00:10,2017-07-06 15:01,2017-07-06 15:12,
8,In vehicle,00:22,2017-07-06 14:34,2017-07-06 14:57,
9,Walk,00:12,2017-07-06 14:17,2017-07-06 14:30,
0,Walk,00:19,2017-07-07 17:49,2017-07-07 18:09,
1,Eat,00:16,2017-07-07 15:56,2017-07-07 16:12,
2,Cooking,00:35,2017-07-07 14:28,2017-07-07 15:03,
0,In bus,00:05,2017-07-08 22:29,2017-07-08 22:34,
1,In bus,00:05,2017-07-08 20:52,2017-07-08 20:57,
2,In computer,01:17,2017-07-08 19:01,2017-07-08 20:19,
3,Eat,00:35,2017-07-08 19:01,2017-07-08 19:36,
4,In computer,03:13,2017-07-08 15:07,2017-07-08 18:21,
5,Pause,00:30,2017-07-08 14:28,2017-07-08 14:58,
6,Movie,00:57,2017-07-08 13:26,2017-07-08 14:24,
7,Video games,00:21,2017-07-08 13:01,2017-07-08 13:22,
8,Eat,00:16,2017-07-08 12:22,2017-07-08 12:39,
9,Movie,00:48,2017-07-08 11:27,2017-07-08 12:16,
0,At home,05:52,2017-07-09 17:08,2017-07-09 23:00,
1,Pause,04:15,2017-07-09 12:53,2017-07-09 17:08,
2,Football,02:35,2017-07-09 09:50,2017-07-09 12:25,Approximately
3,In vehicle,00:12,2017-07-09 09:24,2017-07-09 09:36,Approximately
0,Video games,00:24,2017-07-10 20:44,2017-07-10 21:08,
1,In computer,01:18,2017-07-10 18:42,2017-07-10 20:00,
2,At home,04:45,2017-07-10 18:14,2017-07-10 23:00,
3,In bus,00:03,2017-07-10 18:09,2017-07-10 18:13,
4,Walk,00:03,2017-07-10 18:03,2017-07-10 18:07,
5,Shop,00:16,2017-07-10 17:45,2017-07-10 18:01,
6,Walk,00:05,2017-07-10 17:40,2017-07-10 17:45,
7,In bus,00:04,2017-07-10 17:36,2017-07-10 17:40,
8,Eat,00:10,2017-07-10 17:17,2017-07-10 17:27,
9,At home,00:44,2017-07-10 16:49,2017-07-10 17:34,
10,Walk,00:15,2017-07-10 16:34,2017-07-10 16:49,
11,At home,00:41,2017-07-10 15:52,2017-07-10 16:34,
12,In bus,00:10,2017-07-10 15:40,2017-07-10 15:50,
13,Walk,00:02,2017-07-10 15:32,2017-07-10 15:34,
14,Train,00:16,2017-07-10 15:15,2017-07-10 15:32,
