,Unnamed: 0.1,Unnamed: 0,index,activity_type,duration,from,to,comment,date,time
0,0,129,12,Eat,00:20,2017-06-29 09:57:00,2017-06-29 10:17:00,,2017-06-29,09:57:00
1,1,128,11,In vehicle,00:21,2017-06-29 10:46:00,2017-06-29 11:07:00,,2017-06-29,10:46:00
2,2,127,10,Walk,01:52,2017-06-29 11:09:00,2017-06-29 13:01:00,,2017-06-29,11:09:00
3,3,126,9,Shop,00:28,2017-06-29 12:12:00,2017-06-29 12:40:00,,2017-06-29,12:12:00
4,4,125,8,Took off glasses,00:08,2017-06-29 12:21:00,2017-06-29 12:29:00,,2017-06-29,12:21:00
5,5,124,7,On bus stop,00:18,2017-06-29 12:44:00,2017-06-29 13:02:00,,2017-06-29,12:44:00
6,6,123,6,In bus,00:22,2017-06-29 13:02:00,2017-06-29 13:24:00,,2017-06-29,13:02:00
7,7,121,4,Eat,00:08,2017-06-29 13:36:00,2017-06-29 13:44:00,,2017-06-29,13:36:00
8,8,120,3,In bus,00:32,2017-06-29 16:12:00,2017-06-29 16:44:00,,2017-06-29,16:12:00
9,9,119,2,Walking&party,04:37,2017-06-29 16:45:00,2017-06-29 21:22:00,,2017-06-29,16:45:00
10,10,118,1,In bus,00:12,2017-06-29 21:24:00,2017-06-29 21:36:00,,2017-06-29,21:24:00
11,11,117,0,Running,00:21,2017-06-29 21:59:00,2017-06-29 22:20:00,,2017-06-29,21:59:00
12,12,150,20,Eat,00:13,2017-06-30 10:54:00,2017-06-30 11:08:00,,2017-06-30,10:54:00
13,13,149,19,Walk,00:14,2017-06-30 11:27:00,2017-06-30 11:42:00,,2017-06-30,11:27:00
14,14,148,18,Train,00:22,2017-06-30 11:42:00,2017-06-30 12:04:00,,2017-06-30,11:42:00
15,15,147,17,Walk,00:07,2017-06-30 12:04:00,2017-06-30 12:12:00,,2017-06-30,12:04:00
16,16,146,16,Work,02:59,2017-06-30 12:20:00,2017-06-30 15:19:00,,2017-06-30,12:20:00
17,17,145,15,In computer,01:26,2017-06-30 12:21:00,2017-06-30 13:48:00,,2017-06-30,12:21:00
18,18,144,14,In computer,01:15,2017-06-30 14:04:00,2017-06-30 15:19:00,,2017-06-30,14:04:00
19,19,143,13,Walk,00:04,2017-06-30 15:19:00,2017-06-30 15:24:00,,2017-06-30,15:19:00
20,20,142,12,Shop,00:10,2017-06-30 15:24:00,2017-06-30 15:34:00,,2017-06-30,15:24:00
21,21,141,11,Walk,00:05,2017-06-30 15:34:00,2017-06-30 15:39:00,,2017-06-30,15:34:00
22,22,140,10,Work,00:51,2017-06-30 15:41:00,2017-06-30 16:32:00,,2017-06-30,15:41:00
23,23,139,9,Walk,00:06,2017-06-30 16:34:00,2017-06-30 16:41:00,,2017-06-30,16:34:00
24,24,138,8,Train,00:18,2017-06-30 16:45:00,2017-06-30 17:03:00,,2017-06-30,16:45:00
25,25,137,7,Walk,00:21,2017-06-30 17:03:00,2017-06-30 17:25:00,,2017-06-30,17:03:00
26,26,136,6,Eat,00:09,2017-06-30 17:25:00,2017-06-30 17:34:00,,2017-06-30,17:25:00
27,27,134,4,In bus,00:21,2017-06-30 18:51:00,2017-06-30 19:12:00,,2017-06-30,18:51:00
28,28,133,3,Walk,00:07,2017-06-30 19:12:00,2017-06-30 19:19:00,,2017-06-30,19:12:00
29,29,132,2,Meeting,00:42,2017-06-30 19:19:00,2017-06-30 20:01:00,,2017-06-30,19:19:00
30,30,131,1,Train,00:31,2017-06-30 21:18:00,2017-06-30 21:49:00,,2017-06-30,21:18:00
31,31,130,0,Walking&party,04:58,2017-06-30 21:50:00,2017-07-01 02:48:00,,2017-06-30,21:50:00
32,32,7,7,Sleep,04:31,2017-07-01 11:00:00,2017-07-01 15:31:00,,2017-07-01,11:00:00
33,33,6,6,Eat,00:13,2017-07-01 16:20:00,2017-07-01 16:33:00,,2017-07-01,16:20:00
34,34,5,5,In computer,00:20,2017-07-01 18:26:00,2017-07-01 18:46:00,,2017-07-01,18:26:00
35,35,4,4,Eat,00:18,2017-07-01 20:49:00,2017-07-01 21:07:00,,2017-07-01,20:49:00
36,36,3,3,In computer,00:05,2017-07-01 21:08:00,2017-07-01 21:13:00,,2017-07-01,21:08:00
37,37,1,1,In computer,00:03,2017-07-01 21:29:00,2017-07-01 21:32:00,,2017-07-01,21:29:00
38,38,0,0,Video games,01:43,2017-07-01 21:34:00,2017-07-01 23:17:00,,2017-07-01,21:34:00
